teamid,traderid,tradedate,tradetime,productid,productname,productgroupid,exchangegroupid,brokergroupid,exchclearingacctid,quantitylots,quantityunits,unit,price,contractmonth,strike,specialComms,spread,B/S
1,,15/5/2025,15/5/2025 9:14,,marine 0.5%,,1,3,2,,1000,mt,477,Aug-25,,,,S
1,,15/5/2025,15/5/2025 9:16,,marine 0.5%,,1,3,2,,2000,mt,476.75,Aug-25,,,,S
1,,15/5/2025,15/5/2025 9:17,,marine 0.5% crack,,1,3,2,,5040,mt,11.9,Jul-25,,,,S
1,,15/5/2025,15/5/2025 9:32,,marine 0.5%,,1,3,2,,5000,mt,493,Jun-25,,,,S
1,,15/5/2025,15/5/2025 9:40,,marine 0.5%,,1,3,2,,1000,mt,475,Aug-25,,,,B
1,,15/5/2025,15/5/2025 10:43,,380cst,,1,3,2,,3000,mt,372.5,Jan-26,,,,S
1,,15/5/2025,15/5/2025 10:49,,marine 0.5% crack,,1,3,2,,2520,mt,11.95,Jul-25,,,,S
1,,15/5/2025,15/5/2025 10:51,,marine 0.5%,,1,3,2,,800,mt,486.6,Jun-25,,,MOC,S
1,,15/5/2025,15/5/2025 11:14,,380cst,,1,3,2,,20000,mt,16.5,Jun-25,,,S,S
1,,15/5/2025,15/5/2025 11:14,,380cst,,1,3,2,,20000,mt,0,Jul-25,,,S,B
1,,15/5/2025,15/5/2025 13:36,,marine 0.5%,,1,3,2,,1000,mt,473.75,Aug-25,,,,S
1,,15/5/2025,15/5/2025 13:40,,marine 0.5%,,1,3,2,,1000,mt,473.5,Aug-25,,,,S
1,,15/5/2025,15/5/2025 13:55,,marine 0.5%,,1,3,2,,1000,mt,473.75,Aug-25,,,,S
1,,15/5/2025,15/5/2025 14:00,,marine 0.5%,,1,3,2,,2000,mt,473,Aug-25,,,,S
1,,15/5/2025,15/5/2025 14:00,,marine 0.5%,,1,3,2,,2000,mt,473,Aug-25,,,,S
1,,15/5/2025,15/5/2025 14:12,,marine 0.5%,,1,3,2,,1000,mt,490,Jun-25,,,,S
1,,15/5/2025,15/5/2025 14:29,,marine 0.5%,,1,3,2,,1000,mt,468.5,Sept-25,,,,S
1,,15/5/2025,15/5/2025 14:49,,marine 0.5%,,1,3,2,,1000,mt,474.5,Aug-25,,,,S
