teamid,traderid,tradedate,tradetime,productid,productname,productgroupid,exchangegroupid,brokergroupid,exchclearingacctid,quantitylots,quantityunits,unit,price,contractmonth,strike,specialComms,spread,B/S
1,,15/5/2025,15/5/2025 14:56,,marine 0.5%,,1,3,2,,4000,mt,471.25,Aug-25,,,,S
1,,15/5/2025,15/5/2025 15:02,,380cst,,1,3,2,,5000,mt,8.75,Sept-25,,,S,B
1,,15/5/2025,15/5/2025 15:03,,380cst,,1,3,2,,5000,mt,0,Oct-25,,,S,S
1,,15/5/2025,15/5/2025 15:27,,marine 0.5%,,1,3,2,,10000,mt,9.5,Jun-25,,,S,S
1,,15/5/2025,15/5/2025 15:27,,marine 0.5%,,1,3,2,,10000,mt,0,Jul-25,,,S,B
1,,15/5/2025,15/5/2025 15:48,,380cst,,1,3,2,,5000,mt,24.5,Jul-25,,,S,B
1,,15/5/2025,15/5/2025 15:48,,380cst,,1,3,2,,5000,mt,0,Sept-25,,,S,S
1,,15/5/2025,15/5/2025 16:20,,marine 0.5% crack,,1,3,2,,3000,mt,13,Jun-25,,,,B
1,,15/5/2025,15/5/2025 17:09,,marine 0.5%,,1,3,2,,10000,mt,6.5,Jul-25,,,S,S
1,,15/5/2025,15/5/2025 17:09,,marine 0.5%,,1,3,2,,10000,mt,0,Aug-25,,,S,B
1,,15/5/2025,15/5/2025 17:35,,marine 0.5%,,1,3,2,,500,mt,483.5,Jun-25,,,,B
1,,15/5/2025,15/5/2025 18:00,,marine 0.5%,,1,3,2,,1000,mt,494.25,Balmo,,,,S
1,,15/5/2025,15/5/2025 20:27,,marine 0.5%,,1,3,2,,5000,mt,8.5,Jun-25,,,S,B
1,,15/5/2025,15/5/2025 20:27,,marine 0.5%,,1,3,2,,5000,mt,0,Jul-25,,,S,S
1,,15/5/2025,15/5/2025 20:27,,marine 0.5%,,1,3,2,,5000,mt,8.75,Jun-25,,,S,S
1,,15/5/2025,15/5/2025 20:27,,marine 0.5%,,1,3,2,,5000,mt,0,Jul-25,,,S,B
1,,15/5/2025,15/5/2025 21:14,,marine 0.5%,,1,3,2,,3000,mt,473.25,Aug-25,,,,S
1,,15/5/2025,15/5/2025 21:15,,marine 0.5% crack,,1,3,2,,3000,mt,11.7,Jul-25,,,,B
1,,15/5/2025,15/5/2025 21:32,,380cst,,1,3,2,,5000,mt,13.75,Jul-25,,,S,S
1,,15/5/2025,15/5/2025 21:32,,380cst,,1,3,2,,5000,mt,0,Aug-25,,,S,B
1,,15/5/2025,15/5/2025 21:32,,380cst,,1,3,2,,10000,mt,13.75,Jul-25,,,S,B
1,,15/5/2025,15/5/2025 21:32,,380cst,,1,3,2,,10000,mt,0,Aug-25,,,S,S
1,,15/5/2025,15/5/2025 21:32,,380cst,,1,3,2,,5000,mt,13.75,Jul-25,,,S,S
1,,15/5/2025,15/5/2025 21:32,,380cst,,1,3,2,,5000,mt,0,Aug-25,,,S,B
1,,15/5/2025,15/5/2025 22:12,,380cst,,1,3,2,,5000,mt,14,Jul-25,,,S,S
1,,15/5/2025,15/5/2025 22:12,,380cst,,1,3,2,,5000,mt,0,Aug-25,,,S,B
1,,15/5/2025,15/5/2025 22:35,,marine 0.5%,,1,3,2,,2000,mt,472,Aug-25,,,,S
1,,15/5/2025,15/5/2025 22:38,,380cst crack,,1,3,2,,2000,mt,3.35,Jun-25,,,,S
1,,15/5/2025,15/5/2025 22:48,,marine 0.5%,,1,3,2,,1800,mt,472,Aug-25,,,,S
1,,15/5/2025,15/5/2025 22:50,,marine 0.5%,,1,3,2,,1000,mt,488.25,Jun-25,,,,B
1,,15/5/2025,15/5/2025 16:20,,marine 0.5% crack,,1,3,2,,3000,mt,13,Jun-25,,,,B
